celine-dion	325	7217	78332	4.39	('love', 1017)	('la_la', 179)	('la_la_la', 133)
the-chemical-brothers	35	660	1932	3.56	('out', 36)	('out_control', 24)	('out_control_out', 13)
george-strait	188	2661	21398	4.86	('but', 267)	("i've_got", 29)	('do_right_thing', 16)
agent-steel	34	1641	4463	3.72	('from', 61)	('searchin_searchin', 19)	('rise_from_knees', 13)
better-than-ezra	64	1770	8342	3.76	('when', 88)	('southern_girl', 38)	('want_southern_girl', 26)
the-replacements	95	2061	9837	4.12	('dont', 159)	('fuck_school', 29)	('fuck_school_fuck', 27)
spice-girls	62	1864	15623	4.84	('get', 225)	('la_la', 87)	('la_la_la', 82)
jethro-tull	212	5098	24894	4.99	('no', 206)	('watching_watching', 27)	('step_no_step', 17)
jewel	81	2489	12047	4.11	('are', 150)	('all_right', 17)	('god_watching_us', 12)
midnight-oil	113	3039	12041	4.75	('no', 132)	('no_one', 24)	('no_one_can', 18)
grave-digger	99	2166	8852	6.44	('no', 97)	('watch_out', 26)	('watch_out_watch', 13)
sugar-ray	53	1350	7803	4.63	('out', 111)	('la_la', 42)	('la_la_la', 32)
10	139	5808	37307	5.68	('all', 351)	('mack_10', 194)	('do_damn_thang', 70)
ben-folds	94	2480	13321	4.25	('know', 165)	('dont_know', 54)	('ah_ah_ah', 33)
ace-of-base	72	1445	10259	3.88	("you're", 119)	('na_na', 61)	('na_na_na', 44)
talking-heads	78	2455	12787	4.34	('up', 227)	('na_na', 107)	('na_na_na', 93)
pantera	69	2324	7417	3.9	("it's", 90)	('shedding_skin', 9)	('onward_rock_straight', 6)
hammerfall	45	1217	6516	4.5	('will', 128)	('oh_oh', 34)	('fly_away_now', 24)
the-rolling-stones	57	1687	9376	4.8	("it's", 154)	('aaah_aaah', 68)	('aaah_aaah_aaah', 64)
bush	174	3733	24136	3.86	('all', 427)	('get_out', 56)	('love_all_love', 27)
tori-amos	231	4514	30048	3.59	('this', 292)	('dont_know', 39)	('just_two_us', 21)
angra	35	1169	4074	3.38	('all', 58)	('holy_land', 12)	("it's_cathy_come", 8)
pixies	76	1662	6021	3.47	('no', 71)	('this_aint', 20)	('ny_ny_ny', 15)
oasis	123	1830	15633	4.46	('all', 252)	('la_la', 88)	('la_la_la', 81)
eric-clapton	171	2050	16360	4.94	('love', 257)	('hey_hey', 52)	('hey_hey_hey', 39)
massive-attack	34	1515	5445	3.93	('love', 107)	('love_love', 21)	('moving_up_slowly', 17)
marcy-playground	38	1111	3874	3.99	('all', 69)	('bye_bye', 16)	('by_wb_music', 12)
korn	115	2221	17264	4.07	('this', 326)	('this_time', 47)	('up_shut_up', 23)
ugly-kid-joe	37	1179	4053	4.3	('got', 51)	('too_bad', 17)	('bad_too_bad', 12)
311	113	4903	24264	4.83	('but', 250)	('throw_down', 49)	('time_throw_down', 43)
liz-phair	70	1878	9673	4.52	('all', 145)	('shine_shine', 33)	('shine_shine_shine', 18)
the-verve-pipe	56	1955	6336	4.96	('but', 88)	('no_no', 21)	('no_no_no', 16)
rainbow	66	1893	8619	4.0	('see', 87)	('see_ya', 24)	('lemme_see_ya', 24)
u2	151	2924	19741	3.49	('love', 349)	('la_la', 68)	('la_la_la', 43)
kingdom-come	112	1800	10933	3.89	('all', 136)	('thank_thank', 25)	('thank_thank_thank', 16)
n-sync	104	1964	22718	4.06	('love', 356)	('oh_oh', 67)	('oh_oh_oh', 49)
brad-paisley	75	2395	11245	4.79	('but', 129)	('repeat_chorus', 24)	('old_rugged_cross', 12)
y-and-t	31	1224	5830	3.85	('la', 78)	('la_la', 42)	('ooo_ooo_ooo', 36)
dishwalla	47	973	5044	4.16	('all', 92)	('so_much', 20)	('take_some_time', 11)
